,value
n_tickers,44.0
total_raw_bars,2829239.0
total_clean_bars,2829075.0
pct_retained,99.99
bars_dedup_removed,0.0
bars_ohlc_invalid,0.0
bars_zero_price,0.0
bars_low_volume,0.0
bars_return_outlier,43.0
bars_range_outlier,121.0
bars_gap_flagged,0.0
bars_vol_spike,208298.0
bars_stale,16100.0
avg_coverage_pct,67.14
tickers_below_80pct,32.0
