ticker,mean_ret_ann,vol_ann,skew,kurtosis,max_1d_ret,min_1d_ret,n_extreme_pct,n_zero_ret,n_null
AAPL,-0.9505614427268221,0.18250291545012895,-0.7840565669834527,0.0610076457179658,0.011090647021140265,-0.029996319470003585,0,0,1
AMAT,-0.10149456786324296,0.4777845492856426,-0.625413325520752,-0.2354652682218754,0.04434065934065923,-0.06471587799890544,0,0,1
AMD,1.1999222611927747,0.4611238499265154,0.5553642181371022,-0.4037969857079333,0.06238523243452199,-0.040379810094952395,0,0,1
AMZN,0.3136119792298196,0.2803273005903409,0.3997138629665231,0.5552878330736024,0.043861407508783756,-0.030388757072458472,0,0,1
AVGO,0.04649464473360506,0.38072599693254133,0.982763124410327,1.7926180117208736,0.06279809220985699,-0.04431839861944209,0,0,1
BAC,-0.7517653892870059,0.23049567852993127,-0.6984811567957293,0.20159103205890494,0.019756200084068976,-0.03651722375391098,0,0,1
BIIB,0.13935946179301537,0.3494624681055017,0.08086739634375097,-1.4133798356920653,0.03455617496643448,-0.0309212283044058,0,0,1
C,0.011708363627121682,0.2959752315599161,-0.7662756608210293,0.5764741703984657,0.02687739976783643,-0.04504347826086963,0,0,1
CAT,-0.4619731844099198,0.362888062507807,-0.18393594255704981,-0.7638336336718963,0.03458085134344224,-0.0417334378987666,0,0,1
CRM,-0.8714581949294339,0.3480732162310983,-0.015117705535109355,1.5466658238775426,0.0435275140171294,-0.056949487856943315,0,0,1
CRWD,0.4083923490964351,0.42636927996796525,-0.21962804202236433,-0.47634187457406174,0.04672466734902758,-0.04420396270396276,0,0,1
CVX,1.5069985157923813,0.21877205160436775,0.19720671525600456,-0.5471200190215679,0.030823651992706536,-0.016925098554533502,0,0,1
DE,-0.8427890449768184,0.2540896122759362,0.05897983334563046,1.8180112729106965,0.03355633802816893,-0.04136538336264739,0,0,1
GE,-1.7821452605238606,0.3201110776056613,-0.5601539179506446,-0.7863140206917545,0.01945408835149043,-0.0478817688130333,0,0,1
GS,-1.2101280946344575,0.3639851477730813,-1.5455197159834475,2.4859633761172284,0.016921708185053452,-0.07082162162162164,0,0,1
HAL,1.1243735493674285,0.3208744030040426,-0.25858655481970677,-0.8284727364593247,0.03951990632318503,-0.03168093607305922,0,0,1
HD,-1.5594799778616721,0.26131183450889034,0.14889949441029807,-0.8983126306213425,0.02483729513229349,-0.032720381643643215,0,0,1
JPM,-0.35717645583166363,0.15516671392360096,-0.4835575537678256,-0.4210348217771811,0.015293996073163063,-0.019172561056986726,0,0,1
LLY,-1.374736092521675,0.29964540449637955,-0.9558467974631255,2.3268738249511123,0.02769607843137245,-0.05786328527966733,0,0,1
LMT,-0.30773987807048825,0.3007914152535325,0.8259926657203616,-0.7193537577138978,0.03326463628730636,-0.026431652975592468,0,0,1
LRCX,-0.1235847702775102,0.5699889620514526,-0.40726437322986364,-1.0617068512754395,0.049110909802000835,-0.07197276698577937,0,0,1
MCD,-0.9377623132051821,0.1862939984813936,-0.47219093887513125,0.596439531645204,0.018895522388059582,-0.031546707503828486,0,1,1
META,-1.249527034433758,0.2661459345975995,-0.15107676033343165,-0.15975009195049772,0.02193342772522966,-0.04087912087912082,0,0,1
MRNA,0.6553536179928332,0.5125558344974631,-0.1293329837097228,0.8114881606298243,0.07144312368732009,-0.07156439066551423,0,0,1
MS,-0.7417539975950351,0.3162855120633954,-0.8555038804659315,1.2926424900336477,0.031401422188660266,-0.05403409090909084,0,1,1
MSFT,-0.9056165697168216,0.17583114077751372,0.1378471292637783,-0.3504341029493787,0.01918029477084593,-0.024024225058609017,0,0,1
MSTR,0.8833543453040419,0.6436444212410909,0.7451070668173327,0.6952880122711451,0.1000729004885692,-0.061302170283806356,0,0,1
MU,-0.906547221568119,0.7477961532575017,0.008490926817794392,-1.404365449374433,0.06866150850044739,-0.07491174680462565,0,0,1
NET,3.052507367680166,0.40664841645641253,0.08958181235227626,-0.9187556234947793,0.05846049396394637,-0.027927927927927865,0,0,1
NKE,-2.4493661088191736,0.22736771336953773,0.5992751788664173,-0.13178132563903455,0.019445969742298397,-0.032693895883742274,0,0,1
NOW,-0.3218888875693117,0.4346434806127712,0.1462582234516985,-0.36694731079813625,0.05562999753671782,-0.05201920808943605,0,0,1
NVDA,-0.47431407987781,0.2641009949044248,-0.3721546392607561,-0.24042784223299396,0.021012940021327475,-0.038918918918918854,0,0,1
OXY,2.5757178257393494,0.36993276263007796,0.1162767770196485,-0.46046471228866137,0.0550731703819487,-0.029974255240897474,0,0,1
PLTR,1.800637960024683,0.4384239714981299,0.8532936714330146,0.25052103215666754,0.0677113002123737,-0.029240490645521033,0,0,1
QCOM,-1.3897773785975225,0.19994506084861785,0.7409830729300725,-1.0753367581786617,0.018104448742746637,-0.019362675050014322,0,0,1
REGN,-0.2726006987018083,0.32798122819360664,-0.1531869281171571,-0.7990609621123301,0.03249669749009243,-0.03738414272067736,0,0,1
RTX,0.005128711268815025,0.36447997028526374,0.9113223535638363,0.4094068566776836,0.052761341222879565,-0.030444964871194413,0,0,1
SBUX,-0.7138831607768445,0.27611359428618076,-0.28440134022010316,1.6533061470926094,0.03638130195401068,-0.04505056190779577,0,0,1
SLB,0.26344833284735053,0.4730276979074035,-0.4672442978765591,1.0266395346406623,0.054465270121278886,-0.06859883236030018,0,0,1
SMCI,-3.30191218569072,1.052894566856857,-2.0706409224425686,5.978095921630189,0.06496509404597806,-0.2295025792188652,1,0,1
SNOW,-0.6822914246919641,0.41316234197621365,-0.3161273644968753,0.9618791046235722,0.05093278057447437,-0.06440872560275546,0,0,1
TSLA,-0.6682653685913849,0.31150310543278975,0.33300414306745973,-0.5361866648673215,0.03948426997878807,-0.028936592629358437,0,0,1
VRTX,-0.4815187165636714,0.4168899887754615,1.1143704055552306,0.8125954692871722,0.062394715111478094,-0.032279196316450376,0,0,1
XOM,1.3073348397995082,0.21374656391202612,-0.16622778060635943,-0.25328437380993307,0.03093200568529686,-0.021265830964073418,0,0,1
