,value
n_tickers,44.0
total_raw_bars,1073992.0
total_clean_bars,1073783.0
pct_retained,99.98
bars_dedup_removed,0.0
bars_ohlc_invalid,0.0
bars_zero_price,0.0
bars_low_volume,0.0
bars_return_outlier,42.0
bars_range_outlier,167.0
bars_gap_flagged,0.0
bars_vol_spike,176522.0
bars_stale,4424.0
avg_coverage_pct,76.59
tickers_below_80pct,26.0
